frame,entropy,sigma_E2,efficiency,E_co2,n_tracks,mean_speed_frame
23,1.76662791161898,784.677645411344,0.17090833623389906,785.5609593671535,8,4.613024373979667
24,1.299910280759341,2432.3199688936943,0.2725562454764499,2432.9699240340738,8,7.421548383079733
25,1.345330761701948,3409.1543157486476,0.2604535455531599,3409.8269811294986,8,7.332099098920613
26,1.3588853083065946,3935.8946427593364,0.2569470341042426,3936.5740854134897,8,6.229484117028138
27,1.3699394161273328,4154.240360385694,0.2541223548028289,4154.925330093757,8,5.961308855290219
28,1.3885011109777023,4162.3399065555295,0.24944892080614797,4163.034157111018,8,5.515050847384419
29,1.3959422189655026,4132.054820296748,0.24759963335572494,4132.752791406231,8,5.390439248079312
30,1.2377401948236788,7444.995960642535,0.29003890935160603,7445.614830739946,8,8.154611232232353
31,1.2333567777698637,11286.012620724989,0.29131306138283347,11286.629299113874,7,8.415112807930383
32,1.2360936473333552,11076.230186950961,0.29051686557071865,11076.848233774628,7,5.4646021287758675
33,1.2366505059661759,10882.047823603441,0.2903551337811965,10882.666148856424,7,5.442629905034082
34,1.235745902925695,10701.82993979369,0.2906179087536345,10702.447812745153,7,5.3997601851713295
35,1.233813324329548,10533.885203529522,0.29118009376213255,10534.502110191686,7,5.475407179376412
36,1.2481873061261475,10699.34233648172,0.28702461334202706,10699.966430134784,7,5.516364574337258
37,1.2483783113168883,10862.342991575077,0.286969795386432,10862.967180730735,7,5.474129725672528
38,1.2456164235211362,11023.138060203044,0.28776346927666135,11023.760868414805,7,5.426554963275832
39,1.2444330813019686,11177.401446245047,0.28810419349590777,11178.023662785698,6,4.240005869060582
40,1.2260785076557799,11333.5430311459,0.2934410511797458,11334.156070399727,6,4.289919155424077
41,1.2213784092615352,11484.690479990053,0.2948234992692619,11485.301169194683,6,4.301469003620636
42,1.1950377059549937,11640.05704730794,0.3026925406556504,11640.654566160918,6,4.351092576293831
43,1.1647835671200635,11804.614612123267,0.31199017965896153,11805.197003906827,6,4.596743678027855
44,1.1553999878205388,11955.705377737368,0.31493154292559117,11956.283077731277,6,4.626277849616016
45,1.1153656587970868,11966.74063587603,0.32779539571266647,11967.298318705429,5,0.8982476030265518
46,1.0935975128901132,11985.187806031301,0.3350091236036675,11985.734604787745,5,1.1315918811511088
47,1.0635856029967088,11971.13592048572,0.3452157817918724,11971.66771328722,5,1.1525024389485965
48,1.0313783622098014,11963.788423022059,0.35651521464591646,11964.304112203165,5,1.1276827091371302
49,1.0078047554171192,11976.743105687428,0.36501940755956735,11977.247008065136,5,1.3664167668507825
50,0.9833452784248582,11984.816023631245,0.3740576764222158,11985.307696270458,5,1.511038271261719
51,0.9700304575568552,11989.769336109272,0.37907149233604176,11990.25435133805,5,1.6163830006145232
52,0.9440581779962147,11990.161965045761,0.38904581031314617,11990.63399413476,5,1.2788589289494208
53,0.9063176383719025,11977.440338038248,0.40400919621489484,11977.893496857434,5,1.509476244005587
54,0.8760844184078124,11930.983956050062,0.4164102118494903,11931.421998259266,5,2.3591700873880397
55,0.8305928345006182,11177.827177917885,0.4357908578708538,11178.242474335135,5,1.7874783868544213
56,0.7938056420728186,11087.11012436334,0.45212090676680794,11087.507027184376,5,1.8497887806645448
57,0.7838624884455256,10697.73691671252,0.4566388384226279,10698.128847956743,5,1.8252327840599196
58,0.8033803653687001,10472.243715226905,0.44781263236934005,10472.645405409588,5,2.0470856897405243
59,0.8225251240999754,10473.764882062826,0.4393209128912216,10474.176144624875,5,1.9987516586652325
60,0.8118643757537303,10040.080537183989,0.4440294562905709,10040.486469371866,5,2.1655660324315007
61,0.8103551327214286,9777.605583396444,0.4447001106164962,9778.010760962805,5,2.2084325358177113
62,0.8036486965776032,9769.580233707567,0.44769248638451387,9769.982058055857,5,2.2799278230448112
63,0.7919968488243709,9624.373737885116,0.45293944006603387,9624.769736309529,5,2.4188177474560346
64,0.7625462638621161,9517.45669989786,0.4664771396495606,9517.837973029791,5,2.5322689809806542
65,0.7405243390906977,9506.11600465669,0.4768638116197671,9506.486266826234,5,2.6398292114562745
66,0.7236280485737169,6600.591454087524,0.4849894947571794,6600.953268111811,5,2.8528630549976706
67,1.182850905208669,2972.087891621644,0.3064039635875508,2972.679317074248,5,3.0177915254460332
68,1.1969416143233922,2952.3427289859083,0.3021167900565544,2952.94119979307,4,3.6993266927640196
